timestamp,object_id,comment,plain,mystyle
1368896550303.0,120020328,"beautiful",false,
1364494391494.0,120003333,"dis be som killa shiznit",false,
1372455374103.0,120023673,"",true,
1372359463328.0,120025572,"@bleekerman @courtneymarmon dont like it",false,
1372704262170.0,120025572,"",false,
1369667901389.0,120025572,"It is way too fancy!!!!",false,
1376417137503.0,120023673,"","",
1364317061930.0,120023673,"it looks mechanical",false,
1369247843386.0,120059379,"fff",true,
1376048867759.0,120059379,"","",
1372540642633.0,120059379,"",true,
1376241775900.0,120003333,"",false,
1364061875483.0,120023673,"The shapes are neither dissonant nor harmonious enough.",false,
1363799781312.0,120020328,"It's too plain",true,false
1372354813332.0,120003333,"",true,
1372698600664.0,120023673,"it ismbomb",false,
1374348430670.0,120003333,"","",
1364330399509.0,120024343,"i love the bread plate; it is my favorite!",true,
1372791390988.0,120023673,"simple and serves a very practicle purpose",true,
1373910892854.0,120023673,"",false,
1374171444783.0,120024343,"","",
1373126525220.0,120059379,"the gold looks nice with the white color.However, there are not many designs",true,
1374862395046.0,120024343,"hen piaoliang, butuo!",false,
1374269632312.0,120024343,"","",
1376763617890.0,120024343,"tell us why",false,
1372609244190.0,120020328,"too ancient",false,
1375033135292.0,120003333,"",false,
1375986352773.0,120020328,"bhv tc v  ytug",true,
1376253296647.0,120020328,"",false,
1368995220921.0,120059379,"totes",true,
1372785573421.0,120003333,"",false,
1374429637958.0,120059379,"",true,
1365203259062.0,120025572,"because it has its own platter on the pot",false,
1372781541025.0,120059379,"",true,
1369329780470.0,120023673,"i wouldnt say that it either really",true,
1369586744699.0,120025572,"i like intricate stuff",false,
1366137237930.0,120024343,"i don't like the writing",false,
1376334867064.0,120024343,"","",
1372795985046.0,120024343,"","",
1367691924773.0,120059379,"too simple, nauve!",true,
1375126861907.0,120020328,"",false,
1372453861140.0,120023673,"",true,
1374165254394.0,120024343,"it is colorful!!!",false,
1364918511452.0,120023673,":(","",
1374262270359.0,120020328,"",true,
1365957599460.0,120023673,"it is pretty",false,
1374505268043.0,120024343,"",true,
1374351919165.0,120025572,"",true,
1373912225622.0,120024343,"perty",false,
1363103259153.0,120025572,"cash rules everything around me",false,
1372455235646.0,120059379,"",false,
1374851926241.0,120024343,"",false,
1364503150128.0,120025572,"its too... carved",false,
1374509992788.0,120023673,"","",
1372538326885.0,120003333,"","",
1376174523313.0,120025572,"",false,
1365962701061.0,120024343,"too gawdy",false,
1374959630476.0,120025572,"",false,
1364824296700.0,120003333,"blah fart blah..whyare there no results fr us to see? show mevapercentage of what other people thimk.",true,
1376156629709.0,120059379,"",false,
1376681741867.0,120003333,"",false,
1374271658757.0,120020328,"",true,
1369248013252.0,120059379,"dunno",true,
1369432163872.0,120024343,"too much going on",true,
1375726424275.0,120059379,"",true,
1374436431992.0,120020328,"smooth and all roundish sense, natural color blend",true,
1365012821003.0,120003333,"i love the pattern",false,
1363964595857.0,120059379,"idk",false,
1375806568558.0,120024343,"",false,
1374853276136.0,120023673,"ugly",false,
1364673826653.0,120003333,"the neck of the glass seems akward and uncomfortable",false,
1375131596410.0,120024343,"",true,
1363440434869.0,120003333,"decorative, sophisticated and funky, love it",false,true
1374686246119.0,120024343,"","",
1376240564665.0,120024343,"",false,
1364842417120.0,120025572,"too many designs",false,
1363381759660.0,120023673,"unusual",false,true
1372616474908.0,120024343,"",true,
1372453924026.0,120023673,"",true,
1373122957778.0,120020328,"",false,
1375042908777.0,120059379,"",false,
1364069943587.0,120020328,"because it is borng
 q 6!6!@

























bob is a llama",false,
1376159285144.0,120024343,"",true,
1372541872582.0,120003333,"",false,
1374766043811.0,120023673,"",true,
1365283349386.0,120024343,"i like plates :P",true,
1369766473088.0,120024343,"only three colors, lack of depht",true,
1364486575073.0,120059379,"Gold",false,
1364486998176.0,120020328,"because it  makes You look good.plus you can put on stylish things",false,
1364141441237.0,120020328,"lolz",false,
1363274662569.0,120003333,".chuz",false,true
1364049599617.0,120059379,"I'ts my style because I like old-fashioned loobking things",false,
1374348113218.0,120024343,"",false,
1364068586434.0,120003333,"fuckin map",false,
1375735080041.0,120059379,"",false,
1373143238738.0,120003333,"i would rather save money than buynsouvineer",true,
1364594603726.0,120025572,"it is white and plain. there is no feature on this :(",true,
1369504956138.0,120024343,"the colors are boring but the design is too much for my taste.",false,
1375820715789.0,120025572,"",false,
1363718982474.0,120025572,"wear",false,false
1363976522605.0,120023673,"weird",true,
1376094603715.0,120020328,"",true,
1376065995708.0,120020328,"","",
1372614452956.0,120059379,"it just is",false,
1369165558183.0,120059379,"extremely gracious",false,
1375803401598.0,120024343,"",false,
1365286323600.0,120024343,"horrible color combination/palette looks like a (flat) beer stein!",true,
1372257577482.0,120023673,"","",
1364155933259.0,120023673,"looks mechanic. i prefer organic shapes",true,
1375128614714.0,120020328,"","",
1368111441719.0,120003333,"the color is beautiful and is nice decoration",false,
1364085377712.0,120024343,"your mom's face",true,
1372434139313.0,120059379,"junkomoto",false,
1374094876585.0,120059379,"",false,
1372692019349.0,120025572,"",false,
1363529444025.0,120023673,"it is practical, can beuseas napkin holder,talb,le w",true,true
1372263898225.0,120003333,"",false,
1374693449336.0,120023673,"","",
1376763309308.0,120020328,"",false,
1376677161276.0,120059379,"",true,
1372551202575.0,120023673,"",true,
1374686993997.0,120003333,"",true,
1364317359265.0,120059379,"qwrrtyuioasdfhkl
Xxvnm.!&"" c.cmb,dczj,cS,bsli.asca 
sca!.ascxsan mbz .,c","",
1372441545219.0,120025572,"","",
1365007700392.0,120025572,"aron
pira'",false,
1376223815847.0,120020328,"",false,
1368901712012.0,120059379,"only two colors",true,
1375118505870.0,120020328,"",false,
1364391376852.0,120024343,"too bussy",false,
1364491729229.0,120025572,"becus  i  read  Fancy  Nancy",false,
1374266515065.0,120059379,"",false,
1372529033018.0,120025572,"",false,
1374784130269.0,120023673,"",true,
1376407192409.0,120020328,"",true,
1374943249203.0,120023673,"",true,
1373915603474.0,120003333,"Faet","",
1372704146653.0,120023673,"too plain",true,
1364237620145.0,120023673,"its cool",false,
1376840758481.0,120003333,"",false,
1368123634599.0,120059379,"to simple",true,
1363452150676.0,120020328,"to grrek",false,false
1372710978375.0,120020328,"",true,
1374074391868.0,120025572,"sexy",true,
1369771843146.0,120023673,"precise",false,
1364502190236.0,120020328,"i likensparkles",true,
1372525405661.0,120020328,"idk",false,
1365809881491.0,120023673,"its wierd",true,
1368030177638.0,120020328,"smooth and pleasant lines, easy to look at",true,
1376424504443.0,120023673,"",true,
1376161185300.0,120024343,"im a frog",false,
1376076992529.0,120024343,"",false,
1364934043135.0,120023673,"Beautiful.",false,
1376693265113.0,120020328,"",true,
1364737731984.0,120025572,"goo","",
1372968808923.0,120020328,"what the hel is the point of this? this is an abuse of technology and an unabashed attempt to grtbyiung people interest",true,
1374434101003.0,120025572,"",false,
1375980264499.0,120020328,"",false,
1374257405167.0,120003333,"",false,
1376695127249.0,120024343,"Ther's no real decadence or no use precious stones or metal.",true,
1372540631748.0,120003333,"",false,
1373046565190.0,120003333,"cause its",true,
1372261507002.0,120025572,"it looksbawsome!",true,
1372705523534.0,120023673,"",false,
1372622734102.0,120059379,"fabulous",true,
1363803015403.0,120024343,"brown? ick",false,false
1372446850185.0,120020328,"details",false,
1372273868324.0,120003333,"",false,
1364234377731.0,120003333,"because i am fancy",false,
